Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
929,1997-98,BOS,NBA,82,36,46,.439,19730,3012,6934,2597,5685,415,1249,1425,1964,1196,2044,3240,1816,987,366,1330,2203,7864
930,1950-51,NYK*,NBA,66,36,30,.545,,2037,5380,2037,5380,,,1592,2231,,,3421,1551,,,,1810,5666
931,2003-04,BOS*,NBA,82,36,46,.439,19705,2843,6415,2290,4816,553,1599,1572,2095,851,2440,3291,1683,770,331,1332,1837,7811
932,1996-97,LAC*,NBA,82,36,46,.439,19930,2989,6696,2515,5357,474,1339,1517,2074,1092,2242,3334,1662,733,441,1311,1964,7969
933,1956-57,NYK,NBA,72,36,36,.500,,2569,6645,2569,6645,,,2117,2844,,,4723,1312,,,,1824,7255
934,1992-93,DEN,NBA,82,36,46,.439,19830,3352,7282,3214,6828,138,454,1784,2360,1266,2564,3830,1735,651,565,1413,2039,8626
935,1966-67,NYK*,NBA,81,36,45,.444,19490,3637,8025,3637,8025,,,2151,2980,,,5178,1782,,,,2110,9425
936,1967-68,BAL,NBA,82,36,46,.439,19755,3691,8428,3691,8428,,,2245,2994,,,5431,1534,,,,2127,9627
937,2018-19,MIN,NBA,82,36,46,.439,19830,3413,7483,2586,5126,827,2357,1570,1995,923,2750,3673,2018,683,411,1074,1664,9223
938,2004-05,ORL,NBA,82,36,46,.439,19705,3034,6679,2714,5763,320,916,1772,2335,1038,2544,3582,1583,633,441,1322,1937,8160
939,2001-02,MIA,NBA,82,36,46,.439,19930,2801,6382,2489,5483,312,899,1236,1708,902,2544,3446,1664,547,448,1217,1846,7150
940,1952-53,FTW*,NBA,69,36,33,.522,,1876,5230,1876,5230,,,1839,2491,,,3548,1438,,,,2119,5591
941,1960-61,LAL*,NBA,79,36,43,.456,,3401,8430,3401,8430,,,2204,2999,,,5816,1728,,,,2043,9006
942,1969-70,CIN,NBA,82,36,46,.439,19880,3767,8271,3767,8271,,,2082,2841,,,4163,1992,,,,2215,9616
943,2017-18,CHO,NBA,82,36,46,.439,19780,3197,7106,2373,4873,824,2233,1656,2216,827,2901,3728,1770,559,373,1041,1409,8874
944,1966-67,LAL*,NBA,81,36,45,.444,19565,3786,8466,3786,8466,,,2192,2917,,,5415,1906,,,,2168,9764
945,2001-02,PHO,NBA,82,36,46,.439,19830,3097,6934,2739,5838,358,1096,1250,1630,1072,2430,3502,1838,668,401,1205,1785,7802
946,2007-08,IND,NBA,82,36,46,.439,19755,3102,6993,2347,4972,755,2021,1568,2042,904,2633,3537,1864,623,412,1236,1921,8527
947,1994-95,DAL,NBA,82,36,46,.439,19930,3227,7342,2841,6142,386,1200,1622,2210,1514,2433,3947,1941,579,348,1345,1811,8462
948,2011-12,DAL*,NBA,66,36,30,.545,16065,2398,5412,1901,3948,497,1464,1029,1334,665,2157,2822,1380,565,337,926,1226,6322
949,1965-66,STL*,NBA,80,36,44,.450,19200,3379,7836,3379,7836,,,2155,2870,,,5167,1782,,,,2179,8913
950,1971-72,ATL*,NBA,82,36,46,.439,19730,3482,7570,3482,7570,,,2018,2725,,,4080,1897,,,,1967,8982
